2020-10-11 19:54:50.631 [FreightCar called on the wayain] INFO  by.epam.thirdtask.entity.RiverFerry - FreightCar called on the way
2020-10-11 19:54:50.631 [2 3400river ferry was loadedain] INFO  by.epam.thirdtask.entity.RiverFerry - 2 3400river ferry was loaded
2020-10-11 19:54:50.631 [River ferry is fullain] INFO  by.epam.thirdtask.entity.RiverFerry - River ferry is full
2020-10-11 19:54:50.635 [PassengerCar called on the wayain] INFO  by.epam.thirdtask.entity.RiverFerry - PassengerCar called on the way
2020-10-11 19:54:50.636 [5 9000river ferry was loadedain] INFO  by.epam.thirdtask.entity.RiverFerry - 5 9000river ferry was loaded
2020-10-11 19:55:10.637 [FreightCar called on the wayain] INFO  by.epam.thirdtask.entity.RiverFerry - FreightCar called on the way
2020-10-11 19:55:10.637 [2 3400river ferry was loadedain] INFO  by.epam.thirdtask.entity.RiverFerry - 2 3400river ferry was loaded
2020-10-11 19:55:10.637 [River ferry is fullain] INFO  by.epam.thirdtask.entity.RiverFerry - River ferry is full
2020-10-11 19:55:10.637 [PassengerCar called on the wayain] INFO  by.epam.thirdtask.entity.RiverFerry - PassengerCar called on the way
2020-10-11 19:55:10.638 [5 9000river ferry was loadedain] INFO  by.epam.thirdtask.entity.RiverFerry - 5 9000river ferry was loaded
2020-10-11 19:55:30.638 [FreightCar called on the wayain] INFO  by.epam.thirdtask.entity.RiverFerry - FreightCar called on the way
2020-10-11 19:55:30.638 [2 3400river ferry was loadedain] INFO  by.epam.thirdtask.entity.RiverFerry - 2 3400river ferry was loaded
2020-10-11 19:55:30.638 [River ferry is fullain] INFO  by.epam.thirdtask.entity.RiverFerry - River ferry is full
2020-10-11 19:55:30.639 [PassengerCar called on the wayain] INFO  by.epam.thirdtask.entity.RiverFerry - PassengerCar called on the way
2020-10-11 19:55:30.639 [5 9000river ferry was loadedain] INFO  by.epam.thirdtask.entity.RiverFerry - 5 9000river ferry was loaded
2020-10-11 19:55:50.640 [FreightCar called on the wayain] INFO  by.epam.thirdtask.entity.RiverFerry - FreightCar called on the way
2020-10-11 19:55:50.640 [2 3400river ferry was loadedain] INFO  by.epam.thirdtask.entity.RiverFerry - 2 3400river ferry was loaded
2020-10-11 19:55:50.640 [River ferry is fullain] INFO  by.epam.thirdtask.entity.RiverFerry - River ferry is full
2020-10-11 19:55:50.640 [PassengerCar called on the wayain] INFO  by.epam.thirdtask.entity.RiverFerry - PassengerCar called on the way
2020-10-11 19:55:50.641 [5 9000river ferry was loadedain] INFO  by.epam.thirdtask.entity.RiverFerry - 5 9000river ferry was loaded
2020-10-11 19:56:10.641 [FreightCar called on the wayain] INFO  by.epam.thirdtask.entity.RiverFerry - FreightCar called on the way
2020-10-11 19:56:10.641 [2 3400river ferry was loadedain] INFO  by.epam.thirdtask.entity.RiverFerry - 2 3400river ferry was loaded
2020-10-11 19:56:10.641 [River ferry is fullain] INFO  by.epam.thirdtask.entity.RiverFerry - River ferry is full
2020-10-11 19:56:10.642 [PassengerCar called on the wayain] INFO  by.epam.thirdtask.entity.RiverFerry - PassengerCar called on the way
2020-10-11 19:56:10.642 [5 9000river ferry was loadedain] INFO  by.epam.thirdtask.entity.RiverFerry - 5 9000river ferry was loaded
2020-10-11 19:56:30.644 [FreightCar called on the wayain] INFO  by.epam.thirdtask.entity.RiverFerry - FreightCar called on the way
2020-10-11 19:56:30.644 [2 3400river ferry was loadedain] INFO  by.epam.thirdtask.entity.RiverFerry - 2 3400river ferry was loaded
2020-10-11 19:56:30.645 [River ferry is fullain] INFO  by.epam.thirdtask.entity.RiverFerry - River ferry is full
2020-10-11 19:56:30.645 [PassengerCar called on the wayain] INFO  by.epam.thirdtask.entity.RiverFerry - PassengerCar called on the way
2020-10-11 19:56:30.645 [5 9000river ferry was loadedain] INFO  by.epam.thirdtask.entity.RiverFerry - 5 9000river ferry was loaded
2020-10-11 19:56:50.646 [FreightCar called on the wayain] INFO  by.epam.thirdtask.entity.RiverFerry - FreightCar called on the way
2020-10-11 19:56:50.646 [2 3400river ferry was loadedain] INFO  by.epam.thirdtask.entity.RiverFerry - 2 3400river ferry was loaded
2020-10-11 19:56:50.646 [River ferry is fullain] INFO  by.epam.thirdtask.entity.RiverFerry - River ferry is full
2020-10-11 19:56:50.646 [PassengerCar called on the wayain] INFO  by.epam.thirdtask.entity.RiverFerry - PassengerCar called on the way
2020-10-11 19:56:50.647 [5 9000river ferry was loadedain] INFO  by.epam.thirdtask.entity.RiverFerry - 5 9000river ferry was loaded
2020-10-11 19:57:10.649 [FreightCar called on the wayain] INFO  by.epam.thirdtask.entity.RiverFerry - FreightCar called on the way
